Wall time,Step,Value
1694331036.449856,18,15293.7822265625
1694331041.9564223,47,15237.166015625
1694331044.759465,62,15207.7939453125
1694331049.844563,89,15154.60546875
1694331052.4745371,103,15126.9375
1694331053.2205799,107,15118.994140625
1694331057.1694684,128,15077.220703125
1694331063.9795492,164,15005.1650390625
1694331065.4971519,172,14989.005859375
1694331079.3246846,244,14842.240234375
1694331082.1635623,259,14811.259765625
1694331086.5490985,282,14763.42578125
1694331106.321331,386,14542.41796875
1694331109.3468804,402,14507.7392578125
1694331111.8165452,415,14479.4462890625
1694331115.966087,437,14431.2421875
1694331121.2997901,465,14369.3662109375
1694331123.2145593,475,14347.1708984375
1694331124.3623326,481,14333.71484375
1694331129.9035182,510,14268.712890625
1694331134.296706,533,14216.728515625
1694331135.2520862,538,14205.3173828125
1694331135.6355171,540,14200.798828125
1694331138.7154565,556,14164.2685546875
1694331146.320942,596,14072.1669921875
1694331154.149659,637,13976.4794921875
1694331155.291405,643,13962.3916015625
1694331155.4889624,644,13960.052734375
1694331158.1520166,658,13926.994140625
1694331161.5444334,675,13886.6650390625
1694331181.4969964,764,13671.8642578125
1694331183.9047832,775,13644.8974609375
1694331190.371975,804,13573.2978515625
1694331202.9756653,866,13417.9609375
1694331207.1244752,886,13367.185546875
1694331231.866055,1015,13031.705078125
1694331233.9383295,1026,13002.4765625
1694331236.0103035,1037,12973.0673828125
1694331242.650848,1071,12881.751953125
1694331250.376329,1111,12772.943359375
1694331253.1422849,1125,12734.568359375
1694331254.8188741,1132,12715.26953125
1694331259.1148202,1152,12660.0166015625
1694331261.3818667,1164,12626.724609375
1694331263.6540487,1176,12593.2568359375
1694331265.1712282,1184,12570.927734375
1694331271.63858,1218,12475.29296875
1694331278.1406264,1252,12378.6328125
1694331278.6103947,1254,12372.916015625
1694331281.0654233,1267,12335.6845703125
1694331281.8360083,1271,12324.1982421875
1694331301.597793,1376,12017.8251953125
1694331309.2564886,1417,11895.6494140625
1694331316.740574,1457,11775.0732421875
1694331316.9291074,1458,11772.0615234375
1694331323.623081,1494,11662.302734375
1694331326.5916634,1510,11613.1806640625
1694331327.1596053,1513,11603.91015625
1694331333.6989996,1548,11495.5849609375
1694331334.2577527,1551,11486.283203125
1694331336.8813841,1565,11442.6396484375
1694331348.4923658,1627,11247.26171875
1694331349.9694986,1635,11221.7890625
1694331356.5125704,1670,11109.8125
1694331362.527936,1702,11006.544921875
1694331364.2283077,1711,10977.337890625
1694331390.3804045,1847,10527.37890625
1694331392.9881017,1860,10483.5263671875
1694331400.6676004,1899,10351.1064453125
1694331402.6817873,1909,10316.912109375
1694331408.7239192,1940,10210.486328125
1694331412.73671,1960,10141.3466796875
1694331412.9259138,1961,10137.8603515625
1694331434.9181075,2070,9754.7568359375
1694331436.8475237,2079,9722.609375
1694331438.8906233,2089,9686.8583984375
1694331441.1275866,2100,9647.404296875
1694331462.1322937,2209,9250.7060546875
1694331484.361322,2319,8839.3212890625
1694331492.5471134,2359,8686.8798828125
1694331507.5725985,2436,8389.314453125
1694331508.5711668,2441,8369.79296875
1694331511.1782176,2454,8318.9296875
1694331512.7975988,2462,8287.5859375
1694331513.410298,2465,8275.78515625
1694331517.5923736,2485,8197.0234375
1694331521.7642975,2503,8125.82080078125
1694331525.070954,2517,8070.224609375
1694331537.4727516,2577,7829.86328125
1694331537.6682494,2578,7825.798828125
1694331541.93188,2599,7740.85546875
1694331547.391034,2627,7626.94873046875
1694331548.956626,2635,7594.26953125
1694331550.6099126,2643,7561.517578125
1694331558.6684136,2684,7392.77880859375
1694331560.5167463,2693,7355.5322265625
1694331563.519204,2708,7293.28173828125
1694331565.343652,2717,7255.82275390625
1694331572.1851218,2753,7105.27001953125
1694331572.3725336,2754,7101.08251953125
1694331575.0322664,2768,7042.19677734375
1694331578.2859306,2785,6970.48486328125
1694331583.3661287,2812,6856.02734375
1694331589.6540725,2844,6719.55810546875
1694331593.0340693,2861,6646.66552734375
1694331614.139489,2973,6160.66796875
1694331636.4037125,3083,5674.1337890625
1694331636.6116555,3084,5669.681640625
1694331641.1019459,3104,5580.3525390625
1694331641.356603,3105,5575.892578125
1694331644.7970304,3120,5508.7236328125
1694331650.284585,3145,5396.5185546875
1694331662.2478554,3199,5153.07763671875
1694331666.209888,3217,5071.6640625
1694331671.4698052,3241,4962.8720703125
1694331676.759302,3265,4853.90625
1694331677.416564,3268,4840.2841796875
1694331697.2188766,3356,4439.56103515625
1694331708.1419175,3404,4220.72216796875
1694331720.789915,3461,3961.1015625
1694331725.4585118,3483,3861.0712890625
1694331727.1608834,3491,3824.709716796875
1694331729.1354232,3500,3783.83349609375
1694331734.6467838,3526,3665.894775390625
1694331743.218003,3566,3484.89208984375
1694331743.8642983,3569,3471.347900390625
1694331750.7131386,3600,3331.5322265625
1694331754.089844,3616,3259.5546875
1694331761.5836868,3654,3089.11083984375
1694331762.1689935,3657,3075.69140625
1694331762.9422581,3661,3057.79833984375
1694331764.3103678,3668,3026.5185546875
1694331764.9950356,3671,3013.129638671875
1694331768.7145185,3690,2928.417724609375
1694331773.0927835,3712,2830.6376953125
1694331782.335548,3761,2614.231201171875
1694331786.3683245,3782,2522.149658203125
1694331798.0935833,3848,2235.92578125
1694331798.4495413,3850,2227.340576171875
1694331807.3787186,3902,2006.159423828125
1694331809.5686128,3915,1951.548095703125
1694331812.552488,3933,1876.4744873046875
1694331819.3438616,3975,1703.8824462890625
1694331825.2065697,4012,1555.2857666015625
1694331826.8780873,4023,1511.814697265625
1694331836.0613012,4084,1277.4246826171875
1694331839.6939814,4109,1185.0623779296875
1694331841.3782694,4121,1141.5887451171875
1694331841.7974787,4124,1130.8111572265625
1694331844.845941,4146,1052.9315185546875
1694331849.6001596,4181,933.5181274414062
1694331851.0848727,4192,897.2172241210938
1694331855.8116524,4227,785.93701171875
1694331859.673723,4257,696.078125
1694331867.2990997,4318,530.8386840820312
1694331868.6206946,4328,506.1501770019531
1694331883.5036976,4454,257.6201171875
1694331892.6455066,4535,157.30633544921875
1694331893.1232681,4539,153.4115753173828
1694331895.960177,4564,131.0631866455078
1694331901.1256053,4612,96.78881072998047
1694331904.744039,4649,76.8502197265625
1694331909.044118,4690,59.96689987182617
1694331909.2566988,4692,59.26213455200195
1694331909.9175448,4698,57.20747756958008
1694331910.8838913,4707,54.287322998046875
