Wall time,Step,Value
1694302633.5626235,18,15293.8076171875
1694302634.0341876,47,15237.275390625
1694302634.2698867,62,15207.859375
1694302634.7078295,89,15154.8603515625
1694302634.9309251,103,15127.24609375
1694302634.9928637,107,15119.3447265625
1694302635.3318775,128,15077.755859375
1694302635.9110005,164,15006.0126953125
1694302636.0464158,172,14990.009765625
1694302637.197981,244,14844.298828125
1694302637.43204,259,14813.587890625
1694302637.7939434,282,14766.2724609375
1694302639.430472,386,14548.1650390625
1694302639.6810017,402,14514.0625
1694302639.8912728,415,14486.1650390625
1694302640.2405322,437,14438.7490234375
1694302640.6848805,465,14378.009765625
1694302640.8504796,475,14356.150390625
1694302640.9475229,481,14343.0517578125
1694302641.4176273,510,14279.251953125
1694302641.7808154,533,14228.2421875
1694302641.8578973,538,14217.076171875
1694302641.8916883,540,14212.6396484375
1694302642.1434925,556,14176.857421875
1694302642.7723389,596,14086.6962890625
1694302643.4170198,637,13993.1416015625
1694302643.511284,643,13979.376953125
1694302643.5264223,644,13977.0419921875
1694302643.744296,658,13944.7802734375
1694302644.0098805,675,13905.373046875
1694302645.4064817,764,13695.794921875
1694302645.5789258,775,13669.4697265625
1694302646.0347517,804,13599.7666015625
1694302647.0241988,866,13448.416015625
1694302647.3466468,886,13398.9990234375
1694302649.3711157,1015,13071.5400390625
1694302649.54126,1026,13042.7861328125
1694302649.7102406,1037,13013.9189453125
1694302650.2420056,1071,12923.7880859375
1694302650.877912,1111,12815.994140625
1694302651.1026645,1125,12777.8740234375
1694302651.2106974,1132,12758.7216796875
1694302651.529359,1152,12703.7021484375
1694302651.7208352,1164,12670.53515625
1694302651.9112184,1176,12637.189453125
1694302652.0360115,1184,12614.8427734375
1694302652.5672452,1218,12519.28515625
1694302653.096689,1252,12422.623046875
1694302653.1277146,1254,12416.888671875
1694302653.3281357,1267,12379.580078125
1694302653.391165,1271,12368.1044921875
1694302655.0289176,1376,12060.7587890625
1694302655.6822855,1417,11938.1162109375
1694302656.3153872,1457,11816.982421875
1694302656.3317983,1458,11813.9296875
1694302656.8955388,1494,11703.6943359375
1694302657.145764,1510,11654.36328125
1694302657.1911879,1513,11645.0869140625
1694302657.7432716,1548,11536.2724609375
1694302657.7876945,1551,11526.8984375
1694302658.0080853,1565,11483.048828125
1694302658.9708962,1627,11286.8828125
1694302659.0916145,1635,11261.35546875
1694302659.644113,1670,11148.9755859375
1694302660.1494315,1702,11045.310546875
1694302660.2899287,1711,11016.029296875
1694302662.423749,1847,10565.1162109375
1694302662.6269276,1860,10521.20703125
1694302663.2342107,1899,10388.7392578125
1694302663.39067,1909,10354.546875
1694302663.8719683,1940,10248.0537109375
1694302664.1837938,1960,10178.9453125
1694302664.2005773,1961,10175.4716796875
1694302665.9063783,2070,9792.9384765625
1694302666.0471585,2079,9760.9443359375
1694302666.2007515,2089,9725.2763671875
1694302666.3694165,2100,9685.9541015625
1694302668.0160725,2209,9290.9091796875
1694302669.6978157,2319,8882.0595703125
1694302670.3086588,2359,8730.79296875
1694302671.4992192,2436,8435.720703125
1694302671.576656,2441,8416.3798828125
1694302671.7730503,2454,8365.984375
1694302671.8950617,2462,8334.892578125
1694302671.9406197,2465,8323.240234375
1694302672.2444546,2485,8245.216796875
1694302672.519709,2503,8174.71435546875
1694302672.7332416,2517,8119.669921875
1694302673.6634605,2577,7881.822265625
1694302673.6789634,2578,7877.80078125
1694302673.9984004,2599,7793.76611328125
1694302674.420199,2627,7681.12890625
1694302674.5408826,2635,7648.8017578125
1694302674.6634376,2643,7616.44580078125
1694302675.2824688,2684,7449.6162109375
1694302675.4191108,2693,7412.8173828125
1694302675.647699,2708,7351.28369140625
1694302675.782552,2717,7314.28759765625
1694302676.3250525,2753,7165.58056640625
1694302676.3398259,2754,7161.431640625
1694302676.5508819,2768,7103.29296875
1694302676.8021498,2785,7032.474609375
1694302677.2192135,2812,6919.48291015625
1694302677.69949,2844,6784.8134765625
1694302677.953759,2861,6712.89990234375
1694302679.6059778,2973,6233.73583984375
1694302681.2002761,3083,5754.7041015625
1694302681.214911,3084,5750.3232421875
1694302681.5079992,3104,5662.44970703125
1694302681.522628,3105,5658.05517578125
1694302681.7347012,3120,5591.98291015625
1694302682.0970793,3145,5481.64599609375
1694302682.8675559,3199,5242.32666015625
1694302683.123099,3217,5162.30419921875
1694302683.4667876,3241,5055.42236328125
1694302683.8064613,3265,4948.38623046875
1694302683.8487859,3268,4934.98046875
1694302685.102548,3356,4541.48046875
1694302685.7739177,3404,4326.62890625
1694302686.5797346,3461,4071.7392578125
1694302686.8913279,3483,3973.537841796875
1694302687.0034695,3491,3937.849853515625
1694302687.1289482,3500,3897.730224609375
1694302687.4967065,3526,3781.964599609375
1694302688.0579228,3566,3604.3369140625
1694302688.099606,3569,3591.03173828125
1694302688.5298903,3600,3453.862060546875
1694302688.7573674,3616,3383.246826171875
1694302689.3050249,3654,3216.11279296875
1694302689.348207,3657,3202.943359375
1694302689.40514,3661,3185.410400390625
1694302689.5058172,3668,3154.736572265625
1694302689.5491252,3671,3141.60205078125
1694302689.8205526,3690,3058.563232421875
1694302690.1393812,3712,2962.732177734375
1694302690.8206494,3761,2750.6923828125
1694302691.1116526,3782,2660.4912109375
1694302692.0258243,3848,2380.109130859375
1694302692.0534651,3850,2371.70166015625
1694302692.7755678,3902,2154.974853515625
1694302692.955794,3915,2101.44482421875
1694302693.2062354,3933,2027.8299560546875
1694302693.7903643,3975,1858.4342041015625
1694302694.290138,4012,1712.3350830078125
1694302694.4348428,4023,1669.5302734375
1694302695.2528815,4084,1438.0794677734375
1694302695.5811396,4109,1346.45068359375
1694302695.7444184,4121,1303.2032470703125
1694302695.7826676,4124,1292.4776611328125
1694302696.0700638,4146,1214.7584228515625
1694302696.5163069,4181,1094.9317626953125
1694302696.6523213,4192,1058.30712890625
1694302697.0869555,4227,945.311279296875
1694302697.4563594,4257,853.0524291992188
1694302698.204264,4318,679.9050903320312
1694302698.323267,4328,653.5035400390625
1694302699.815135,4454,373.5251159667969
1694302700.7320611,4535,246.59132385253906
1694302700.7761405,4539,241.3543243408203
1694302701.0521393,4564,210.68756103515625
1694302701.5796094,4612,161.16220092773438
1694302701.9699593,4649,130.50433349609375
1694302702.4060764,4690,103.08704376220703
1694302702.4269798,4692,101.90668487548828
1694302702.4893773,4698,98.44905090332031
1694302702.583799,4707,93.485107421875
1694302702.8228333,4730,81.94820404052734
1694302703.3119075,4777,62.87470245361328
1694302703.8658926,4832,46.70855712890625
1694302703.9017532,4835,45.982234954833984
1694302703.911427,4836,45.74365997314453
1694302703.9892251,4844,43.8887825012207
1694302704.363176,4882,36.313194274902344
1694302704.6368728,4910,31.852611541748047
1694302704.8197207,4929,29.277814865112305
1694302705.0049694,4949,26.909059524536133
1694302705.2841618,4980,23.831933975219727
1694302706.2316928,5079,17.526304244995117
1694302706.3203459,5088,17.14725112915039
1694302706.3398294,5090,17.06639289855957
1694302706.7598102,5132,15.621212005615234
1694302706.8005178,5136,15.50613784790039
1694302706.952654,5151,15.104850769042969
1694302706.9917815,5155,15.005549430847168
1694302707.3203878,5187,14.314474105834961
1694302707.452853,5200,14.080768585205078
1694302707.7100403,5225,13.696101188659668
1694302707.845323,5238,13.525955200195312
1694302708.0020106,5253,13.352096557617188
1694302708.0953422,5262,13.258363723754883
1694302708.4407163,5295,12.973584175109863
1694302708.6904461,5319,12.81608772277832
1694302708.721705,5322,12.798938751220703
1694302709.1424036,5362,12.61508560180664
1694302709.2267256,5370,12.587122917175293
1694302709.585365,5403,12.496625900268555
1694302710.0449913,5445,12.427400588989258
1694302710.143797,5454,12.417744636535645
1694302710.7428615,5509,12.38720417022705
1694302712.4225082,5667,12.428730964660645
1694302713.0936818,5730,12.457132339477539
1694302713.3934438,5758,12.468694686889648
1694302713.6319602,5781,12.477441787719727
1694302714.1628306,5832,12.493989944458008
1694302714.5169346,5866,12.502750396728516
1694302714.6528943,5879,12.505595207214355
1694302715.453703,5956,12.517194747924805
1694302715.7149587,5981,12.519157409667969
1694302715.88108,5997,12.520025253295898
1694302716.0065985,6009,12.520451545715332
1694302716.4643898,6053,12.52085018157959
1694302717.0687568,6111,12.518173217773438
1694302717.3497741,6138,12.515990257263184
1694302717.3912475,6142,12.515630722045898
1694302718.2560005,6225,12.505682945251465
1694302718.4441159,6243,12.503063201904297
1694302718.8192596,6279,12.497370719909668
1694302719.3702781,6332,12.487966537475586
1694302719.3907325,6334,12.487580299377441
1694302719.6411648,6358,12.483004570007324
1694302719.6526082,6359,12.482843399047852
1694302719.7036655,6364,12.481842041015625
1694302719.7565877,6369,12.480853080749512
1694302721.4084742,6528,12.446181297302246
1694302721.5955195,6546,12.441886901855469
1694302721.646869,6551,12.440702438354492
1694302721.7831814,6564,12.437516212463379
1694302721.8344362,6569,12.436307907104492
1694302722.0012293,6585,12.432404518127441
1694302722.0540104,6590,12.431198120117188
1694302722.1468294,6599,12.429008483886719
1694302722.313553,6615,12.425047874450684
1694302722.9251218,6673,12.4102783203125
1694302723.4167242,6720,12.397894859313965
1694302723.520837,6730,12.395174980163574
1694302723.7269275,6750,12.389734268188477
1694302724.267732,6802,12.375459671020508
1694302724.6851265,6842,12.364419937133789
1694302724.7684436,6850,12.362171173095703
1694302725.4546099,6916,12.343254089355469
1694302725.485953,6919,12.342353820800781
1694302725.60105,6930,12.339097023010254
1694302726.2364836,6991,12.32094669342041
1694302726.2887752,6996,12.319441795349121
1694302726.3106198,6998,12.31883716583252
1694302726.893275,7054,12.30164623260498
1694302727.559573,7117,12.28161907196045
1694302727.5904114,7120,12.280655860900879
1694302727.6526961,7126,12.278753280639648
1694302728.0485609,7164,12.2664213180542
1694302728.4960291,7207,12.25225830078125
1694302728.9764419,7253,12.236712455749512
1694302729.1940145,7274,12.229498863220215
1694302729.5490317,7308,12.217793464660645
1694302729.8612912,7338,12.207439422607422
1694302730.0183086,7353,12.202119827270508
1694302730.1631103,7367,12.19710922241211
1694302730.881423,7436,12.171998023986816
1694302731.1730578,7464,12.161609649658203
1694302731.2147222,7468,12.160128593444824
1694302731.235348,7470,12.159370422363281
1694302731.3604784,7482,12.15487289428711
1694302731.6126533,7506,12.145806312561035
1694302731.7397027,7518,12.141212463378906
1694302731.8855064,7532,12.135879516601562
1694302732.0002182,7543,12.1316499710083
1694302732.5238166,7593,12.11219596862793
1694302732.6185267,7602,12.10863971710205
1694302732.6387322,7604,12.10787582397461
1694302732.9927974,7638,12.094134330749512
1694302733.0557444,7644,12.09168529510498
1694302733.2212157,7660,12.085165977478027
1694302733.9197817,7727,12.057479858398438
1694302733.9507968,7730,12.056249618530273
1694302734.2208378,7756,12.045344352722168
1694302734.6167989,7794,12.029050827026367
1694302734.6279857,7795,12.028610229492188
1694302734.8988407,7821,12.017354965209961
1694302735.0752928,7838,12.009896278381348
1694302735.255366,7855,12.00244140625
1694302735.6730964,7895,11.984599113464355
1694302735.7349691,7901,11.981878280639648
1694302736.0306828,7929,11.969226837158203
1694302736.631907,7986,11.943037986755371
1694302737.2580423,8046,11.91461181640625
1694302737.592392,8078,11.8992338180542
1694302738.0515819,8122,11.877681732177734
1694302738.2795892,8144,11.86678695678711
1694302738.4899325,8164,11.856793403625488
1694302739.0328457,8216,11.830299377441406
1694302739.1690586,8229,11.823580741882324
1694302739.669232,8277,11.798535346984863
1694302739.8148093,8291,11.791207313537598
1694302739.8669252,8296,11.788559913635254
1694302740.5669112,8363,11.752389907836914
1694302740.7191868,8377,11.744792938232422
1694302740.928648,8397,11.733858108520508
1694302741.9103353,8491,11.681020736694336
1694302742.516441,8548,11.647896766662598
1694302742.579349,8554,11.644335746765137
1694302742.6752064,8563,11.639025688171387
1694302743.257757,8618,11.606287002563477
1694302743.6854534,8659,11.581482887268066
1694302743.7260432,8663,11.578989028930664
1694302744.04957,8694,11.5598783493042
1694302744.3000765,8718,11.544861793518066
1694302744.3633566,8724,11.541093826293945
1694302744.6525888,8752,11.523356437683105
1694302744.8990576,8776,11.508010864257812
1694302744.9199522,8778,11.50670337677002
1694302745.3835428,8823,11.477721214294434
1694302745.4907408,8833,11.471235275268555
1694302745.8275573,8865,11.450273513793945
1694302745.8806398,8870,11.446935653686523
1694302745.9559367,8877,11.442373275756836
1694302746.3723357,8917,11.415548324584961
1694302746.413014,8921,11.412858009338379
1694302747.072504,8985,11.368983268737793
1694302747.288211,9006,11.3543701171875
1694302747.571757,9033,11.33545207977295
1694302747.8345623,9058,11.317809104919434
1694302748.489454,9121,11.272523880004883
1694302748.8059678,9152,11.249992370605469
1694302749.423199,9212,11.20545768737793
1694302749.8438916,9252,11.175224304199219
1694302750.2540586,9291,11.145343780517578
1694302750.3775198,9303,11.136025428771973
1694302750.4722462,9312,11.129088401794434
1694302750.627097,9327,11.11741828918457
1694302750.8155694,9345,11.103314399719238
1694302750.960676,9359,11.092297554016113
1694302751.0967731,9372,11.082040786743164
1694302751.1481223,9377,11.07807445526123
1694302751.2530763,9387,11.070122718811035
1694302751.971186,9456,11.014684677124023
1694302752.8253868,9538,10.946932792663574
1694302752.919676,9547,10.939385414123535
1694302753.1174755,9566,10.92335319519043
1694302754.2098253,9671,10.833355903625488
1694302754.2207296,9672,10.832467079162598
1694302754.6365397,9712,10.797318458557129
1694302755.0609634,9753,10.760845184326172
1694302755.0705261,9754,10.759947776794434
1694302755.258133,9772,10.743814468383789
1694302755.677188,9813,10.706790924072266
1694302755.7901702,9824,10.696791648864746
1694302755.9238977,9837,10.684863090515137
1694302756.0595548,9850,10.672865867614746
1694302756.2359622,9867,10.657112121582031
1694302756.5133238,9894,10.632137298583984
1694302756.746366,9917,10.610711097717285
1694302757.0607212,9948,10.581408500671387
1694302757.0700424,9949,10.580465316772461
1694302757.0801692,9950,10.579545021057129
1694302757.1839101,9960,10.570021629333496
1694302757.316128,9973,10.5576810836792
1694302757.3785255,9979,10.551935195922852
1694302757.5211465,9993,10.538528442382812
1694302758.2357938,10063,10.470818519592285
1694302758.5129337,10090,10.444344520568848
1694302758.8313622,10121,10.41365909576416
1694302759.0044756,10138,10.396742820739746
1694302759.5514526,10191,10.343667030334473
1694302759.7267947,10208,10.326416969299316
1694302759.7983067,10215,10.319320678710938
1694302760.3548121,10269,10.263969421386719
1694302760.4657867,10280,10.252639770507812
1694302761.1008792,10342,10.188143730163574
1694302761.1310668,10345,10.184981346130371
1694302761.1408093,10346,10.18394660949707
1694302761.6408374,10395,10.132132530212402
1694302762.153562,10445,10.078781127929688
1694302762.2153678,10451,10.072319030761719
1694302762.226366,10452,10.071283340454102
1694302762.2892401,10458,10.064783096313477
1694302762.7319987,10501,10.0182466506958
1694302762.9055293,10518,9.999762535095215
1694302763.3452368,10561,9.952548027038574
1694302763.703795,10596,9.913840293884277
1694302764.0842652,10633,9.872673034667969
1694302764.1863043,10643,9.861499786376953
1694302764.2071989,10645,9.859225273132324
1694302764.8329818,10707,9.789286613464355
1694302764.934953,10717,9.777946472167969
1694302765.0055068,10724,9.769979476928711
1694302765.4815705,10771,9.716243743896484
1694302766.1970918,10842,9.634148597717285
1694302768.0328763,11023,9.420400619506836
1694302768.0847332,11028,9.414437294006348
1694302768.1646154,11036,9.404808044433594
1694302768.349435,11054,9.383173942565918
1694302768.7684429,11094,9.334938049316406
1694302769.0155377,11118,9.305804252624512
1694302769.0763578,11124,9.298482894897461
1694302769.086082,11125,9.297271728515625
1694302769.439617,11159,9.25592041015625
1694302769.5516565,11170,9.242457389831543
1694302769.9794586,11212,9.19094467163086
1694302770.0400403,11218,9.18355941772461
1694302770.122582,11226,9.173690795898438
1694302771.1790915,11330,9.044821739196777
1694302771.1891675,11331,9.043573379516602
1694302771.8235457,11394,8.964808464050293
1694302771.9230566,11404,8.952240943908691
1694302771.9727342,11409,8.945944786071777
1694302772.3158581,11443,8.903203964233398
1694302772.3654492,11448,8.896894454956055
1694302772.4962761,11461,8.880491256713867
1694302772.516093,11463,8.877964973449707
1694302773.150559,11526,8.798202514648438
1694302773.685848,11578,8.73204517364502
1694302774.0181556,11611,8.689919471740723
1694302774.8846605,11696,8.581052780151367
1694302775.2875652,11736,8.5295991897583
1694302775.4905002,11756,8.503835678100586
1694302775.5802786,11765,8.492222785949707
1694302775.7895324,11786,8.465154647827148
1694302776.101453,11817,8.425114631652832
1694302776.1211317,11819,8.422527313232422
1694302776.4039526,11847,8.386361122131348
1694302776.6036198,11867,8.360494613647461
1694302776.6942234,11876,8.348847389221191
1694302776.75409,11882,8.341076850891113
1694302777.486742,11955,8.24649429321289
1694302777.6570358,11972,8.224433898925781
1694302778.2164166,12027,8.15303897857666
1694302778.7123892,12076,8.089340209960938
1694302779.704716,12175,7.960777282714844
1694302779.7447731,12179,7.955561637878418
1694302780.3065991,12235,7.882828235626221
1694302780.6672912,12271,7.8361639976501465
1694302780.9777696,12302,7.795952320098877
1694302780.9982007,12304,7.793355464935303
1694302781.118794,12316,7.777798652648926
1694302781.5001514,12354,7.728614807128906
1694302781.9020298,12394,7.676862716674805
1694302781.943144,12398,7.671690940856934
1694302781.9629197,12400,7.669079303741455
1694302782.1739743,12421,7.6419830322265625
1694302782.1839767,12422,7.640685558319092
1694302782.3357158,12437,7.621351718902588
1694302782.458,12449,7.605867385864258
1694302782.732789,12476,7.571056365966797
1694302782.752475,12478,7.568474769592285
1694302782.7728796,12480,7.565910339355469
1694302783.5363657,12554,7.470771789550781
1694302784.0253575,12601,7.410539150238037
1694302784.5188344,12648,7.350536823272705
1694302785.1433272,12708,7.274127006530762
1694302785.9180481,12782,7.180362224578857
1694302786.0111368,12791,7.16899299621582
1694302787.1779084,12901,7.030752658843994
1694302787.2199783,12905,7.025744438171387
1694302787.6388974,12944,6.977115154266357
1694302787.945131,12972,6.942252159118652
1694302787.9891999,12976,6.937279224395752
1694302788.2171383,12997,6.911255359649658
1694302788.3577127,13010,6.895174503326416
1694302788.5116463,13024,6.877845287322998
1694302788.7640865,13048,6.848232269287109
1694302789.2223089,13092,6.794111728668213
1694302790.222338,13188,6.677031517028809
1694302790.8677964,13250,6.602096080780029
1694302790.9829578,13261,6.588879585266113
1694302791.430065,13304,6.537320613861084
1694302791.8952498,13349,6.483705043792725
1694302792.2915356,13388,6.437432289123535
1694302792.5916796,13418,6.40203857421875
1694302792.9754534,13455,6.358562469482422
1694302793.6606846,13522,6.280412197113037
1694302793.9380333,13550,6.247989654541016
1694302794.0184162,13558,6.238727569580078
1694302794.6872501,13623,6.164071083068848
1694302794.8822381,13642,6.142343044281006
1694302794.9027395,13644,6.140050888061523
1694302794.9338143,13647,6.136636257171631
1694302795.067553,13660,6.121872901916504
1694302795.8525946,13736,6.035946369171143
1694302796.5334265,13802,5.962194919586182
1694302796.8313794,13831,5.930032730102539
1694302797.0116758,13849,5.910168170928955
1694302797.4326923,13890,5.865084171295166
1694302797.69871,13916,5.836669445037842
1694302798.2626004,13971,5.776940822601318
1694302798.3526287,13980,5.767180919647217
1694302798.618133,14006,5.739237308502197
1694302799.0277944,14046,5.6963982582092285
1694302800.1755402,14158,5.578063488006592
1694302800.3700361,14177,5.5582475662231445
1694302800.481837,14188,5.546786785125732
